Time,EMG,Force
0.891,0.03841,11.72752
0.892,0.036156,11.896981
0.893,0.033741,12.094685
0.894,0.031648,12.066442
0.895,0.029233,12.122929
0.896,0.027301,12.151172
0.897,0.026174,12.122929
0.898,0.025208,12.179416
0.899,0.025047,12.122929
0.9,0.024564,12.179416
0.901,0.023114,12.066442
0.902,0.015708,11.981711
0.903,0.021182,11.925225
0.904,0.013454,11.812251
0.905,0.010556,11.896981
0.906,0.005242,12.038198
0.907,0.001056,12.264146
0.908,-0.004418,12.094685
0.909,-0.011342,12.066442
0.91,-0.017299,12.066442
0.911,-0.023256,12.094685
0.912,-0.02696,11.925225
0.913,-0.028731,11.784007
0.914,-0.02857,11.840494
0.915,-0.026799,11.925225
0.916,-0.025349,11.953468
0.917,-0.025188,12.066442
0.918,-0.025027,12.179416
0.919,-0.024866,12.066442
0.92,-0.025349,11.896981
0.921,-0.02696,11.699277
0.922,-0.03018,11.868738
0.923,-0.033239,12.122929
0.924,-0.035493,12.405363
0.925,-0.037425,12.546581
0.926,-0.039518,12.292389
0.927,-0.04145,12.151172
0.928,-0.041289,12.122929
0.929,-0.039518,12.038198
0.93,-0.036137,12.235903
0.931,-0.030663,12.37712
0.932,-0.024544,12.46185
0.933,-0.019231,12.348876
0.934,-0.01585,12.292389
0.935,-0.014884,12.179416
0.936,-0.014884,12.066442
0.937,-0.013918,12.094685
0.938,-0.012469,12.207659
0.939,-0.010537,12.37712
0.94,-0.004418,12.179416
0.941,-0.002003,12.433607
0.942,-0.003452,12.179416
0.943,-0.008604,12.122929
0.944,-0.008927,11.981711
0.945,-0.006672,12.009955
0.946,-0.005867,12.066442
0.947,-0.007799,12.094685
0.948,-0.007638,12.151172
0.949,-0.005867,12.37712
0.95,-0.003613,12.235903
0.951,-0.001681,12.122929
0.952,-0.000393,12.207659
0.953,-7.10E-05,12.066442
0.954,-0.001037,12.038198
0.955,-0.00474,11.671033
0.956,-0.007799,11.755764
0.957,-0.010698,12.066442
